n_agents,instance,cbs_success,cbs_time,cbs_cost,cbs_ct_nodes,cbs_ll_calls,baseline_success,baseline_time,baseline_cost,baseline_conflicts
18,17,True,0.0770716667175293,217,27,70,False,5.009262800216675,,
18,18,False,5.001092433929443,,3977,7972,False,5.000546455383301,,
18,19,True,0.2491302490234375,272,230,476,False,5.017712354660034,,
18,20,True,0.01309967041015625,208,8,32,False,5.014679431915283,,
18,21,False,5.000626087188721,,5768,11554,False,5.002865314483643,,
18,22,False,5.000291347503662,,5174,10366,False,5.021522283554077,,
18,23,False,0.28429126739501953,,0,7,False,5.000892877578735,,
18,24,True,0.03455686569213867,272,10,36,False,5.000284433364868,,
20,0,False,0.0016362667083740234,,0,7,False,5.002830266952515,,
20,1,True,0.30835700035095215,241,329,676,False,5.012713670730591,,
20,2,True,0.26941490173339844,314,92,202,False,5.003225803375244,,
20,3,True,0.3110373020172119,258,198,414,False,5.001216173171997,,
20,4,False,5.001303672790527,,3211,6442,False,5.011879920959473,,
20,5,True,2.771998643875122,291,2458,4934,False,5.000700950622559,,
20,6,False,5.001692056655884,,3936,7892,False,5.013643503189087,,
20,7,True,0.8634850978851318,213,647,1312,False,5.004316806793213,,
20,8,False,5.000314712524414,,5866,11752,False,5.010349750518799,,
20,9,True,0.06410408020019531,261,36,90,False,5.018387317657471,,
20,10,False,0.0021686553955078125,,0,12,False,5.009320497512817,,
20,11,True,1.365387201309204,235,965,1948,False,5.000357151031494,,
20,12,True,1.4781067371368408,280,1035,2088,False,5.006610631942749,,
20,13,False,5.000769853591919,,5747,11514,False,5.022623062133789,,
20,14,True,1.4678738117218018,277,1068,2154,False,5.009366273880005,,
20,15,True,0.7165119647979736,262,633,1284,False,5.011033296585083,,
20,16,False,5.001156568527222,,4640,9300,False,5.012042045593262,,
20,17,True,0.372039794921875,225,353,724,False,5.012153387069702,,
20,18,True,0.4504261016845703,257,307,632,False,5.01249098777771,,
20,19,False,5.000167369842529,,4210,8440,False,5.0038838386535645,,
20,20,True,0.06421232223510742,289,45,108,False,5.000572919845581,,
20,21,True,3.0692615509033203,266,861,1740,False,5.015559911727905,,
20,22,False,5.001158237457275,,2599,5218,False,5.0127198696136475,,
20,23,True,2.8654820919036865,331,1718,3454,False,5.005765914916992,,
20,24,False,5.000941276550293,,2351,4722,False,5.020903825759888,,
